source_root	source_path	size_bytes	disposition
../data	arrival_hist/12db/calibration_MXFP8/arrival_hist_bins.csv	7213	external_original_not_selected
../data	arrival_hist/12db/calibration_MXFP8/arrival_hist_layer_summary.csv	2467	external_original_not_selected
../data	arrival_hist/15db/14db/calibration_MXFP4/arrival_hist.json	13912	external_original_not_selected
../data	arrival_hist/15db/14db/calibration_MXFP4/arrival_hist.png	40770	external_original_not_selected
../data	arrival_hist/15db/14db/calibration_MXFP4/arrival_hist_bins.csv	7180	external_original_not_selected
../data	arrival_hist/15db/14db/calibration_MXFP4/arrival_hist_layer_summary.csv	2461	external_original_not_selected
../data	arrival_hist/15db/14db/calibration_MXFP6_E2M3/arrival_hist.json	13908	external_original_not_selected
../data	arrival_hist/15db/14db/calibration_MXFP6_E2M3/arrival_hist.png	44112	external_original_not_selected
../data	arrival_hist/15db/14db/calibration_MXFP6_E2M3/arrival_hist_bins.csv	7062	external_original_not_selected
../data	arrival_hist/15db/14db/calibration_MXFP6_E2M3/arrival_hist_layer_summary.csv	2474	external_original_not_selected
../data	arrival_hist/15db/14db/calibration_MXFP6_E3M2/arrival_hist.json	13866	external_original_not_selected
../data	arrival_hist/15db/14db/calibration_MXFP6_E3M2/arrival_hist.png	43787	external_original_not_selected
../data	arrival_hist/15db/14db/calibration_MXFP6_E3M2/arrival_hist_bins.csv	7050	external_original_not_selected
../data	arrival_hist/15db/14db/calibration_MXFP6_E3M2/arrival_hist_layer_summary.csv	2467	external_original_not_selected
../data	arrival_hist/15db/14db/calibration_MXFP8/arrival_hist.json	13907	external_original_not_selected
../data	arrival_hist/15db/14db/calibration_MXFP8/arrival_hist.png	40677	external_original_not_selected
../data	arrival_hist/15db/14db/calibration_MXFP8/arrival_hist_bins.csv	7120	external_original_not_selected
../data	arrival_hist/15db/14db/calibration_MXFP8/arrival_hist_layer_summary.csv	2464	external_original_not_selected
../data	arrival_hist/15db/calibration_MXFP4/arrival_hist.json	13860	external_original_not_selected
../data	arrival_hist/15db/calibration_MXFP4/arrival_hist.png	38160	external_original_not_selected
../data	arrival_hist/15db/calibration_MXFP4/arrival_hist_bins.csv	7060	external_original_not_selected
../data	arrival_hist/15db/calibration_MXFP4/arrival_hist_layer_summary.csv	2469	external_original_not_selected
../data	arrival_hist/15db/calibration_MXFP6_E2M3/arrival_hist.json	13856	external_original_not_selected
../data	arrival_hist/15db/calibration_MXFP6_E2M3/arrival_hist.png	41903	external_original_not_selected
../data	arrival_hist/15db/calibration_MXFP6_E2M3/arrival_hist_bins.csv	7041	external_original_not_selected
../data	arrival_hist/15db/calibration_MXFP6_E2M3/arrival_hist_layer_summary.csv	2453	external_original_not_selected
../data	arrival_hist/15db/calibration_MXFP6_E3M2/arrival_hist.json	13828	external_original_not_selected
../data	arrival_hist/15db/calibration_MXFP6_E3M2/arrival_hist.png	41874	external_original_not_selected
../data	arrival_hist/15db/calibration_MXFP6_E3M2/arrival_hist_bins.csv	6980	external_original_not_selected
../data	arrival_hist/15db/calibration_MXFP6_E3M2/arrival_hist_layer_summary.csv	2459	external_original_not_selected
../data	arrival_hist/15db/calibration_MXFP8/arrival_hist.json	13863	external_original_not_selected
../data	arrival_hist/15db/calibration_MXFP8/arrival_hist.png	38451	external_original_not_selected
../data	arrival_hist/15db/calibration_MXFP8/arrival_hist_bins.csv	7188	external_original_not_selected
../data	arrival_hist/15db/calibration_MXFP8/arrival_hist_layer_summary.csv	2448	external_original_not_selected
../data	arrival_hist/18db/calibration_MXFP4/arrival_hist.json	13871	external_original_not_selected
../data	arrival_hist/18db/calibration_MXFP4/arrival_hist.png	43204	external_original_not_selected
../data	arrival_hist/18db/calibration_MXFP4/arrival_hist_bins.csv	6928	external_original_not_selected
../data	arrival_hist/18db/calibration_MXFP4/arrival_hist_layer_summary.csv	2520	external_original_not_selected
../data	arrival_hist/18db/calibration_MXFP4_fixed_sum/arrival_hist.json	13429	external_original_not_selected
../data	arrival_hist/18db/calibration_MXFP4_fixed_sum/arrival_hist.png	44739	external_original_not_selected
../data	arrival_hist/18db/calibration_MXFP4_fixed_sum/arrival_hist_bins.csv	5831	external_original_not_selected
../data	arrival_hist/18db/calibration_MXFP4_fixed_sum/arrival_hist_layer_summary.csv	2464	external_original_not_selected
../data	arrival_hist/18db/calibration_MXFP6_E2M3/arrival_hist.json	13849	external_original_not_selected
../data	arrival_hist/18db/calibration_MXFP6_E2M3/arrival_hist.png	44494	external_original_not_selected
../data	arrival_hist/18db/calibration_MXFP6_E2M3/arrival_hist_bins.csv	7012	external_original_not_selected
../data	arrival_hist/18db/calibration_MXFP6_E2M3/arrival_hist_layer_summary.csv	2455	external_original_not_selected
../data	arrival_hist/18db/calibration_MXFP6_E2M3_fixed_sum/arrival_hist.json	13453	external_original_not_selected
../data	arrival_hist/18db/calibration_MXFP6_E2M3_fixed_sum/arrival_hist.png	44013	external_original_not_selected
../data	arrival_hist/18db/calibration_MXFP6_E2M3_fixed_sum/arrival_hist_bins.csv	5824	external_original_not_selected
../data	arrival_hist/18db/calibration_MXFP6_E2M3_fixed_sum/arrival_hist_layer_summary.csv	2484	external_original_not_selected
../data	arrival_hist/18db/calibration_MXFP6_E3M2/arrival_hist.json	13795	external_original_not_selected
../data	arrival_hist/18db/calibration_MXFP6_E3M2/arrival_hist.png	44464	external_original_not_selected
../data	arrival_hist/18db/calibration_MXFP6_E3M2/arrival_hist_bins.csv	6906	external_original_not_selected
../data	arrival_hist/18db/calibration_MXFP6_E3M2/arrival_hist_layer_summary.csv	2451	external_original_not_selected
